,Rooms,Floors,Bedrooms,Living,Type,Condition,Standing,Construction year,Renovation year,Heating,Hot water,Energy efficiency rating,Environmental (CO₂) impact rating,Total,Hot water waste,Bathrooms,Toilet rooms,Shower rooms,Land,Balconies,Balcony,Parking lots (outside),Parking lots (inside),Internal,Terraces,Garages (outside),Environment
646,3,5.0,2.0,70.0,Condo/Apartment,Excellent condition,,,,"Radiator, Gas","Boiler, Individual",D199,D36,81.67 m²,Main drainage,,,,,,,,,,,,
647,3,,2.0,80.0,Condo/Apartment,Good condition,,2006.0,,"Central, District heating, Wood pellet","Boiler, Collective",B89,B10,80 m²,Main drainage,,,,,,,,,,,,
648,6,8.0,4.0,110.0,Condo/Apartment,Good condition,Regular,1970.0,2020.0,Radiator,"Hot water tank, Individual",C150,C26,110 m²,Main drainage,,,,,,,,,,,,
649,1,4.0,,21.0,Condo/Apartment,Good condition,Regular,,,"Radiator, Individual, Electric","Boiler, Individual",F384,B12,21 m²,Main drainage,,,,,,,,,,,,
650,4,9.0,2.0,95.02,Condo/Apartment,Excellent condition,Regular,1959.0,,"Radiator, Common, Gas","Boiler, Collective",D217,D32,96 m²,Main drainage,,,,,,,,,,,,
651,2,10.0,1.0,52.37,Condo/Apartment,Excellent condition,Regular,1965.0,,"Air-conditioning, Common","Hot water tank, Individual",D221,C21,,Main drainage,,,,,,,,,,,,
652,2,,,28.4,House,,,,,"Radiator, Individual, Electric",,E515,B14,34 m²,,,,,41.04 m²,,,,,,,,
653,5,6.0,3.0,104.61,Condo/Apartment,,,1900.0,,"Radiator, Individual, Gas",,C114,C24,105 m²,,2.0,1.0,,,,,,,,,,
654,3,6.0,1.0,77.03,Condo/Apartment,,,1890.0,,"Convector, Individual, Electric",,E267,B8,80 m²,,1.0,1.0,,80.48 m²,,,,,,,,
655,2,6.0,1.0,66.03,Condo/Apartment,,,1900.0,,"Radiator, Common",,E268,E51,67 m²,,1.0,2.0,,66.4 m²,,,,,,,,
656,6,3.0,3.0,115.27,Condo/Apartment,,,1933.0,,"Radiator, Common, Gas",,E323,B10,130 m²,,2.0,2.0,,115.96 m²,2.0,,1.0,,,1.0,,
657,2,2.0,1.0,25.5,Condo/Apartment,,,1980.0,,"Individual, Electric",,E323,B10,25.5 m²,,1.0,1.0,,,,,,,,,,
658,1,6.0,,6.05,Condo/Apartment,,,1900.0,,,,E275,E48,6.05 m²,,,,,,,,,,,,,
659,6,7.0,3.0,132.0,Condo/Apartment,,,1971.0,,"Radiator, Common, Gas",,D224,D48,138 m²,,2.0,2.0,,,3.0,,1.0,,,,,
660,2,5.0,1.0,42.0,Condo/Apartment,,,1850.0,,"Radiator, Individual, Electric",Hot water tank,E303,B9,,,1.0,1.0,,,,,,,,,,
661,2,6.0,1.0,38.0,Condo/Apartment,,,1870.0,,,Hot water tank,No data,No data,,,,1.0,1.0,,,,,,,,,
662,7,6.0,5.0,225.0,Condo/Apartment,,,1900.0,,"Radiator, Individual, Gas",,D188,D40,,,3.0,2.0,,,1.0,,,,,,,
663,3,6.0,2.0,49.0,Condo/Apartment,,,,,"Radiator, Individual, Electric",Hot water tank,E309,B10,,,,1.0,1.0,,,,,,,,,
664,4,6.0,3.0,101.54,Condo/Apartment,,,1770.0,,"Air-conditioning, Individual, Heat pump",Hot water tank,C112,A3,,,,1.0,1.0,,,,,,,,,
665,3,4.0,2.0,74.12,Condo/Apartment,,,1930.0,,"Radiator, Common, Gas",,F,F75,,,1.0,1.0,,,,,,,,,,
666,5,8.0,2.0,165.4,Condo/Apartment,Requires renovation,Regular,1949.0,,"Radiator, Common, Gas","Boiler, Collective",D222,D48,165.4 m²,Main drainage,,,,,,,,,,,,
667,2,,1.0,40.0,Condo/Apartment,,,1930.0,,Electric,,No data,No data,,,1.0,,,,,,,,,,,
668,9,,6.0,169.0,,,,,,,,E257,E55,,,,,,134 m²,,,,,,,,
669,1,,,18.0,Condo/Apartment,,,1920.0,,"Common, Fuel oil",,E289,E60,,,,,,,,,,,,,,
670,1,,,11.54,Condo/Apartment,,,,,"Individual, Electric",,G968,C31,,,,,,,,,,,,,,
671,1,,,32.3,Condo/Apartment,,,,,"Radiator, Common, Gas",,D203,D34,,,,1.0,1.0,,1.0,6.9 m²,,,,,,
672,3,6.0,,45.02,Condo/Apartment,,,,,Individual,,D195,D41,,,,,,,,,,,,,,
